edge_id;edge_len;flow_total;flow_line_2;flow_line_3;flow_line_4;flow_line_5;flow_line_6;flow_line_7;flow_line_8;flow_line_9;flow_line_10;flow_line_11;flow_line_14;flow_line_15;flow_line_16;flow_line_17;flow_line_26;flow_line_27
4;1.4;107.82;107.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42;1.6;41.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44;2.6;145.51;0.0;0.0;0.0;0.0;95.50999999999999;0.0;0.0;0.0;0.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0
45;2.6;104.19;0.0;0.0;0.0;0.0;0.0;82.39;0.0;0.0;0.0;0.0;0.0;21.8;0.0;0.0;0.0;0.0
46;1.8;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
47;1.8;65.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.11
48;1.2;173.95;0.0;0.0;0.0;0.0;173.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50;2.0;69.96999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.969999999999985;0.0;50.0;0.0
51;2.0;21.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.8
52;1.2;95.17;0.0;0.0;0.0;0.0;0.0;0.0;95.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
53;1.2;41.84999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.84999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54;1.2;134.07;134.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
55;1.2;162.78;0.0;162.78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
58;1.4;21.8;21.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59;1.4;171.76;0.0;125.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.76;0.0
6;1.6;154.43;0.0;0.0;28.64;0.0;125.78999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
63;2.8;54.980000000000004;0.0;54.980000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
70;1.8;40.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.27;0.0;0.0;0.0;0.0;0.0;0.0
72;1.8;72.69999999999999;0.0;0.0;0.0;0.0;0.0;0.0;72.69999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
73;1.8;70.08999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.08999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75;1.6;113.65;0.0;0.0;0.0;0.0;0.0;113.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;2.4;50.50999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.50999999999999;0.0;0.0;0.0;0.0
